Departamento,year,Valor
Amazonas,2017.0,64696033.2
Amazonas,2018.0,35548677.692771085
Amazonas,2019.0,36518941.26451613
Amazonas,2020.0,42412152.50117647
Amazonas,2021.0,46010448.416666664
Antioquia,2016.0,10126800.0
Antioquia,2017.0,69487853.95426829
Antioquia,2018.0,69839228.53761952
Antioquia,2019.0,68949099.76151374
Antioquia,2020.0,69837056.0576519
Antioquia,2021.0,40117915.35733233
Arauca,2017.0,106367957.8095238
Arauca,2018.0,33906948.21827411
Arauca,2019.0,38123832.63636363
Arauca,2020.0,46853040.2675841
Arauca,2021.0,36858807.471422434
Atlántico,2016.0,6370000.0
Atlántico,2017.0,60950450.08196721
Atlántico,2018.0,31199049.416393444
Atlántico,2019.0,44460879.6438172
Atlántico,2020.0,38747920.05071818
Atlántico,2021.0,33895715.25460599
Bolívar,2016.0,19834251.0
Bolívar,2017.0,41321791.80864198
Bolívar,2018.0,58589700.812749006
Bolívar,2019.0,59749760.62105969
Bolívar,2020.0,38612018.48361057
Bolívar,2021.0,32123395.96729193
Boyacá,2017.0,44075530.71929824
Boyacá,2018.0,51623988.35445205
Boyacá,2019.0,56013059.0549133
Boyacá,2020.0,54911369.73496622
Boyacá,2021.0,43751574.19392835
Caldas,2017.0,37606180.25
Caldas,2018.0,17030096.60414788
Caldas,2019.0,51204141.25159744
Caldas,2020.0,45362735.85046729
Caldas,2021.0,42714447.10581531
Caquetá,2017.0,34587112.53968254
Caquetá,2018.0,49976086.02226027
Caquetá,2019.0,52655496.74401473
Caquetá,2020.0,45556110.26442308
Caquetá,2021.0,44224918.23781513
Casanare,2017.0,70629912.38461539
Casanare,2018.0,37797008.16605839
Casanare,2019.0,29019444.92791612
Casanare,2020.0,25647698.523153253
Casanare,2021.0,23218229.33013504
Cauca,2017.0,34991404.184210524
Cauca,2018.0,32158100.306306306
Cauca,2019.0,34851294.69675926
Cauca,2020.0,49419587.38371616
Cauca,2021.0,34912352.34877423
Cesar,2016.0,75950000.0
Cesar,2017.0,96398523.57333334
Cesar,2018.0,49653154.21596244
Cesar,2019.0,56365944.93246187
Cesar,2020.0,58500744.96710526
Cesar,2021.0,41485409.27371392
Chocó,2017.0,52017196.63829787
Chocó,2018.0,41729093.58041958
Chocó,2019.0,50227902.14723926
Chocó,2020.0,55522208.55933148
Chocó,2021.0,49747937.05751686
Cundinamarca,2016.0,3493800.0
Cundinamarca,2017.0,20764318.29329962
Cundinamarca,2018.0,43536226.93834772
Cundinamarca,2019.0,41218622.789241165
Cundinamarca,2020.0,37619642.470999435
Cundinamarca,2021.0,32729112.194617655
Córdoba,2017.0,51121382.68965517
Córdoba,2018.0,35658164.5625
Córdoba,2019.0,64014560.96043166
Córdoba,2020.0,60966434.25816485
Córdoba,2021.0,54282040.495512344
Distrito Capital de Bogotá,2015.0,155388057.3
Distrito Capital de Bogotá,2016.0,48446085.36128527
Distrito Capital de Bogotá,2017.0,57766848.11305722
Distrito Capital de Bogotá,2018.0,45804640.77910943
Distrito Capital de Bogotá,2019.0,57376502.67117352
