Sector,year,Valor
Ambiente y Desarrollo Sostenible,2015.0,121860050.5
Ambiente y Desarrollo Sostenible,2016.0,197320000.0
Ambiente y Desarrollo Sostenible,2017.0,11848320.0
Ambiente y Desarrollo Sostenible,2018.0,20025619.0
Ambiente y Desarrollo Sostenible,2019.0,28161000.0
Ambiente y Desarrollo Sostenible,2020.0,20933333.0
Ambiente y Desarrollo Sostenible,2021.0,21700000.0
Ciencia Tecnología,2016.0,20240000.0
Ciencia Tecnología,2017.0,314574115.0
Ciencia Tecnología,2018.0,44714200.0
Ciencia Tecnología,2019.0,26469000.0
Ciencia Tecnología,2020.0,25825000.0
Ciencia Tecnología,2021.0,36123426.0
Cultura,2016.0,17330810.0
Cultura,2017.0,14950000.0
Cultura,2018.0,18683073.5
Cultura,2019.0,27500000.0
Cultura,2020.0,13867324.0
Cultura,2021.0,20104200.0
Educación Nacional,2016.0,8700000.0
Educación Nacional,2017.0,15347250.0
Educación Nacional,2018.0,22500000.0
Educación Nacional,2019.0,37952763.0
Educación Nacional,2020.0,24768479.0
Educación Nacional,2021.0,19800000.0
Hacienda y Crédito Público,2016.0,47694439.0
Hacienda y Crédito Público,2017.0,65750966.0
Hacienda y Crédito Público,2018.0,30207618.0
Hacienda y Crédito Público,2019.0,27000000.0
Hacienda y Crédito Público,2020.0,20621667.0
Hacienda y Crédito Público,2021.0,25728000.0
Inclusión Social y Reconciliación,2016.0,18547079.5
Inclusión Social y Reconciliación,2017.0,21051255.0
Inclusión Social y Reconciliación,2018.0,18000000.0
Inclusión Social y Reconciliación,2019.0,32651000.0
Inclusión Social y Reconciliación,2020.0,19098000.0
Inclusión Social y Reconciliación,2021.0,26072000.0
Industria,2016.0,12025002.0
Industria,2017.0,13932000.0
Industria,2018.0,16200000.0
Industria,2019.0,33419175.0
Industria,2020.0,22775000.0
Industria,2021.0,29076666.5
Información Estadística,2016.0,8589724.0
Información Estadística,2017.0,13812333.5
Información Estadística,2018.0,8117665.0
Información Estadística,2019.0,19249220.0
Información Estadística,2020.0,6664226.0
Información Estadística,2021.0,9053720.0
Inteligencia Estratégica y Contrainteligencia,2016.0,9178546.0
Inteligencia Estratégica y Contrainteligencia,2017.0,18671771.0
Inteligencia Estratégica y Contrainteligencia,2018.0,54954645.0
Inteligencia Estratégica y Contrainteligencia,2019.0,10989352.5
Inteligencia Estratégica y Contrainteligencia,2020.0,55222664.0
Inteligencia Estratégica y Contrainteligencia,2021.0,45000000.0
Ley de Justicia,2016.0,28400000.0
Ley de Justicia,2017.0,4143800.0
Ley de Justicia,2018.0,7760900.0
Ley de Justicia,2019.0,14026330.0
Ley de Justicia,2020.0,15584000.0
Ley de Justicia,2021.0,16450000.0
Minas y Energía,2016.0,8635000.0
Minas y Energía,2017.0,54000000.0
Minas y Energía,2018.0,39142939.0
Minas y Energía,2019.0,49448401.0
Minas y Energía,2020.0,45000000.0
Minas y Energía,2021.0,46633340.0
No aplica/No pertenece,2016.0,10503400.0
No aplica/No pertenece,2017.0,27664638.5
No aplica/No pertenece,2018.0,19000000.0
No aplica/No pertenece,2019.0,21140504.0
No aplica/No pertenece,2020.0,12000000.0
No aplica/No pertenece,2021.0,14276790.0
Planeación,2015.0,63799000.0
Planeación,2016.0,40384000.0
Planeación,2017.0,65502400.0
Planeación,2018.0,49873985.0
Planeación,2019.0,55867184.0
Planeación,2020.0,36608000.0
Planeación,2021.0,37083333.0
Presidencia de la República,2016.0,18000000.0
Presidencia de la República,2017.0,36000000.0
Presidencia de la República,2018.0,23341733.0
Presidencia de la República,2019.0,43142867.0
Presidencia de la República,2020.0,34582323.0
Presidencia de la República,2021.0,44398000.0
Relaciones Exteriores,2015.0,1509710.0
Relaciones Exteriores,2016.0,39245120.0
Relaciones Exteriores,2017.0,22933002.0
Relaciones Exteriores,2018.0,33900000.0
Relaciones Exteriores,2019.0,39398049.5
Relaciones Exteriores,2020.0,38700000.0
Relaciones Exteriores,2021.0,37260000.0
Salud y Protección Social,2016.0,53261775.0
Salud y Protección Social,2017.0,47671399.5
Salud y Protección Social,2018.0,8362188.0
Salud y Protección Social,2019.0,19859052.0
Salud y Protección Social,2020.0,21420702.0
Salud y Protección Social,2021.0,19000480.0
Servicio Público,2016.0,22711500.0
Servicio Público,2017.0,14300000.0
Servicio Público,2018.0,20262550.0
Servicio Público,2019.0,29773333.0
Servicio Público,2020.0,12448333.5
Servicio Público,2021.0,15750000.0
Tecnologías de la Información y las Comunicaciones,2015.0,49000000.0
Tecnologías de la Información y las Comunicaciones,2016.0,30900000.0
Tecnologías de la Información y las Comunicaciones,2017.0,36000000.0
Tecnologías de la Información y las Comunicaciones,2018.0,36000000.0
Tecnologías de la Información y las Comunicaciones,2019.0,31827000.0
Tecnologías de la Información y las Comunicaciones,2020.0,33000000.0
Tecnologías de la Información y las Comunicaciones,2021.0,35000000.0
Trabajo,2016.0,28330000.0
Trabajo,2017.0,34750000.0
Trabajo,2018.0,25187500.0
Trabajo,2019.0,35521500.0
Trabajo,2020.0,32517000.0
Trabajo,2021.0,34753306.0
Transporte,2017.0,16000000.0
Transporte,2018.0,27576000.0
Transporte,2019.0,53195829.0
Transporte,2020.0,28400844.0
Transporte,2021.0,27980118.0
"Vivienda, Ciudad y Territorio",2016.0,17600000.0
"Vivienda, Ciudad y Territorio",2017.0,20000000.0
"Vivienda, Ciudad y Territorio",2018.0,25658728.5
"Vivienda, Ciudad y Territorio",2019.0,42930180.5
"Vivienda, Ciudad y Territorio",2020.0,24244950.0
"Vivienda, Ciudad y Territorio",2021.0,21000000.0
agricultura,2016.0,17485056.0
agricultura,2017.0,24300000.0
agricultura,2018.0,50606400.0
agricultura,2019.0,48000000.0
agricultura,2020.0,32500000.0
agricultura,2021.0,29579375.0
defensa,2016.0,27256000.0
defensa,2017.0,17731357.0
defensa,2018.0,21575876.0
defensa,2019.0,27368000.0
defensa,2020.0,26400000.0
defensa,2021.0,26033333.0
deportes,2017.0,14148628.0
deportes,2018.0,11566666.5
deportes,2019.0,10080000.0
deportes,2020.0,9310233.0
