Orden,year,Valor
Corporación Autónoma,2017.0,6533333.0
Corporación Autónoma,2018.0,12848273.0
Corporación Autónoma,2019.0,32000000.0
Corporación Autónoma,2020.0,20100000.0
Corporación Autónoma,2021.0,19286666.0
Nacional,2015.0,73800000.0
Nacional,2016.0,22950000.0
Nacional,2017.0,22896000.0
Nacional,2018.0,21769268.5
Nacional,2019.0,30047667.0
Nacional,2020.0,28726665.5
Nacional,2021.0,28540616.5
Territorial,2016.0,17619856.0
Territorial,2017.0,14700000.0
Territorial,2018.0,14776663.0
Territorial,2019.0,23625000.0
Territorial,2020.0,14700000.0
Territorial,2021.0,15750000.0
